subject,video,type,type_idx,startFrame,endFrame,frame_num,length
6,./samm_merge_part_2000/006_1,Macro,1,85,112,1313,28
6,./samm_merge_part_2000/006_1,Macro,1,1291,1310,1313,20
6,./samm_merge_part_2000/006_1,Micro,2,49,61,1313,13
6,./samm_merge_part_2000/006_1,Micro,2,287,299,1313,13
6,./samm_merge_part_2000/006_1,Micro,2,502,514,1313,13
6,./samm_merge_part_2000/006_1,Micro,2,535,545,1313,11
6,./samm_merge_part_2000/006_1,Micro,2,774,789,1313,16
6,./samm_merge_part_2000/006_3,Macro,1,109,174,525,66
6,./samm_merge_part_2000/006_3,Macro,1,343,436,525,94
6,./samm_merge_part_2000/006_3,Macro,1,451,512,525,62
6,./samm_merge_part_2000/006_3,Micro,2,21,31,525,11
6,./samm_merge_part_2000/006_3,Micro,2,194,204,525,11
6,./samm_merge_part_2000/006_4,Macro,1,631,657,720,27
6,./samm_merge_part_2000/006_4,Macro,1,673,707,720,35
6,./samm_merge_part_2000/006_5,Macro,1,16,61,758,46
6,./samm_merge_part_2000/006_5,Macro,1,112,170,758,59
6,./samm_merge_part_2000/006_5,Macro,1,208,260,758,53
6,./samm_merge_part_2000/006_5,Macro,1,300,346,758,47
6,./samm_merge_part_2000/006_5,Macro,1,501,519,758,19
6,./samm_merge_part_2000/006_5,Macro,1,641,665,758,25
6,./samm_merge_part_2000/006_5,Micro,2,171,183,758,13
6,./samm_merge_part_2000/006_5,Micro,2,275,289,758,15
6,./samm_merge_part_2000/006_5,Micro,2,744,758,758,15
6,./samm_merge_part_2000/006_6,Macro,1,75,110,750,36
6,./samm_merge_part_2000/006_6,Macro,1,78,154,750,77
6,./samm_merge_part_2000/006_6,Macro,1,253,320,750,68
6,./samm_merge_part_2000/006_6,Macro,1,587,688,750,102
6,./samm_merge_part_2000/006_99,Macro,1,30,65,480,36
6,./samm_merge_part_2000/006_99,Macro,1,82,107,480,26
6,./samm_merge_part_2000/006_99,Macro,1,169,243,480,75
6,./samm_merge_part_2000/006_99,Macro,1,369,460,480,92
6,./samm_merge_part_2000/006_99,Micro,2,132,147,480,16
7,./samm_merge_part_2000/007_5,Micro,2,39,51,570,13
