subject,video,type,type_idx,startFrame,endFrame,frame_num,length
6,./samm_merge_img_1600/006_1,Macro,1,95,124,1458,30
6,./samm_merge_img_1600/006_1,Macro,1,1435,1455,1458,21
6,./samm_merge_img_1600/006_1,Micro,2,54,68,1458,15
6,./samm_merge_img_1600/006_1,Micro,2,319,332,1458,14
6,./samm_merge_img_1600/006_1,Micro,2,558,571,1458,14
6,./samm_merge_img_1600/006_1,Micro,2,594,606,1458,13
6,./samm_merge_img_1600/006_1,Micro,2,860,877,1458,18
6,./samm_merge_img_1600/006_3,Macro,1,121,193,584,73
6,./samm_merge_img_1600/006_3,Macro,1,381,485,584,105
6,./samm_merge_img_1600/006_3,Macro,1,501,569,584,69
6,./samm_merge_img_1600/006_3,Micro,2,24,34,584,11
6,./samm_merge_img_1600/006_3,Micro,2,215,226,584,12
6,./samm_merge_img_1600/006_4,Macro,1,20,277,800,258
6,./samm_merge_img_1600/006_4,Macro,1,288,707,800,420
6,./samm_merge_img_1600/006_4,Macro,1,701,730,800,30
6,./samm_merge_img_1600/006_4,Macro,1,748,785,800,38
6,./samm_merge_img_1600/006_5,Macro,1,18,67,842,50
6,./samm_merge_img_1600/006_5,Macro,1,124,189,842,66
6,./samm_merge_img_1600/006_5,Macro,1,231,289,842,59
6,./samm_merge_img_1600/006_5,Macro,1,333,385,842,53
6,./samm_merge_img_1600/006_5,Macro,1,557,577,842,21
6,./samm_merge_img_1600/006_5,Macro,1,712,739,842,28
6,./samm_merge_img_1600/006_5,Micro,2,190,203,842,14
6,./samm_merge_img_1600/006_5,Micro,2,305,321,842,17
6,./samm_merge_img_1600/006_5,Micro,2,827,842,842,16
6,./samm_merge_img_1600/006_6,Macro,1,83,122,834,40
6,./samm_merge_img_1600/006_6,Macro,1,87,171,834,85
6,./samm_merge_img_1600/006_6,Macro,1,281,356,834,76
6,./samm_merge_img_1600/006_6,Macro,1,653,765,834,113
6,./samm_merge_img_1600/006_99,Macro,1,33,72,534,40
6,./samm_merge_img_1600/006_99,Macro,1,91,118,534,28
6,./samm_merge_img_1600/006_99,Macro,1,188,269,534,82
6,./samm_merge_img_1600/006_99,Macro,1,410,511,534,102
6,./samm_merge_img_1600/006_99,Micro,2,147,163,534,17
7,./samm_merge_img_1600/007_5,Macro,1,442,577,634,136
7,./samm_merge_img_1600/007_5,Micro,2,44,56,634,13
7,./samm_merge_img_1600/007_5,Micro,2,489,506,634,18
7,./samm_merge_img_1600/007_7,Macro,1,100,174,1250,75
7,./samm_merge_img_1600/007_7,Macro,1,254,306,1250,53
7,./samm_merge_img_1600/007_7,Macro,1,1126,1214,1250,89
7,./samm_merge_img_1600/007_7,Micro,2,43,57,1250,15
7,./samm_merge_img_1600/007_7,Micro,2,1122,1129,1250,8
7,./samm_merge_img_1600/007_99,Macro,1,400,445,650,46
7,./samm_merge_img_1600/007_99,Micro,2,41,49,650,9
7,./samm_merge_img_1600/007_99,Micro,2,134,150,650,17
7,./samm_merge_img_1600/007_99,Micro,2,267,274,650,8
7,./samm_merge_img_1600/007_99,Micro,2,292,304,650,13
7,./samm_merge_img_1600/007_99,Micro,2,400,413,650,14
7,./samm_merge_img_1600/007_99,Micro,2,610,620,650,11
8,./samm_merge_img_1600/008_7,Macro,1,118,180,917,63
8,./samm_merge_img_1600/008_7,Macro,1,841,881,917,41
8,./samm_merge_img_1600/008_99,Macro,1,51,112,566,62
8,./samm_merge_img_1600/008_99,Macro,1,219,242,566,24
8,./samm_merge_img_1600/008_99,Macro,1,441,469,566,29
9,./samm_merge_img_1600/009_3,Macro,1,69,91,520,23
9,./samm_merge_img_1600/009_3,Macro,1,249,268,520,20
9,./samm_merge_img_1600/009_3,Macro,1,407,454,520,48
9,./samm_merge_img_1600/009_3,Micro,2,226,239,520,14
9,./samm_merge_img_1600/009_3,Micro,2,245,258,520,14
9,./samm_merge_img_1600/009_3,Micro,2,473,487,520,15
9,./samm_merge_img_1600/009_99,Macro,1,77,100,596,24
9,./samm_merge_img_1600/009_99,Macro,1,144,173,596,30
9,./samm_merge_img_1600/009_99,Macro,1,524,574,596,51
9,./samm_merge_img_1600/009_99,Micro,2,359,370,596,12
10,./samm_merge_img_1600/010_2,Macro,1,123,153,815,31
10,./samm_merge_img_1600/010_2,Macro,1,230,249,815,20
10,./samm_merge_img_1600/010_2,Macro,1,279,327,815,49
10,./samm_merge_img_1600/010_2,Macro,1,401,420,815,20
10,./samm_merge_img_1600/010_2,Macro,1,566,627,815,62
10,./samm_merge_img_1600/010_2,Macro,1,708,737,815,30
10,./samm_merge_img_1600/010_2,Macro,1,739,774,815,36
10,./samm_merge_img_1600/010_2,Macro,1,775,815,815,41
10,./samm_merge_img_1600/010_2,Micro,2,32,38,815,7
10,./samm_merge_img_1600/010_2,Micro,2,202,215,815,14
10,./samm_merge_img_1600/010_3,Macro,1,133,248,679,116
10,./samm_merge_img_1600/010_3,Macro,1,228,247,679,20
10,./samm_merge_img_1600/010_3,Macro,1,334,405,679,72
10,./samm_merge_img_1600/010_3,Macro,1,630,656,679,27
10,./samm_merge_img_1600/010_4,Macro,1,167,197,667,31
